,都道府県,都市,人口2015,人口2020,年少人口,生産年齢人口,老年人口,人口増加率,年少人口増加率,生産年齢人口増加率,老年人口増加率,出生数,死亡数,転入数,転出数,出生数増加率,死亡数増加率,転入数増加率,転出数増加率,地元進学男性,地元進学女性,地元就職男性,地元就職女性,流出進学男性,流出進学女性,流出就職男性,流出就職女性,流入進学男性,流入進学女性,流入就職男性,流入就職女性,有効求職者数（男性）,有効求職者数（女性）,有効求人数,就職件数
44,北海道,八雲町,17252,15826,1591,8504,5534,-8.26,-19.11,-14.05,3.07,89,209,710,1188,0.7416666666666667,0.9330357142857143,0.9491978609625669,1.2,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
45,北海道,長万部町,5926,5109,415,2507,2088,-13.78,-18.14,-22.35,-4.65,23,96,232,300,1.0454545454545454,0.9320388349514563,0.3741935483870968,0.5128205128205128,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
46,北海道,江差町,8248,7428,589,3950,2846,-9.93,-27.99,-13.91,0.25,28,104,383,485,0.7567567567567568,1.0196078431372548,0.7753036437246964,0.7348484848484849,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
47,北海道,上ノ国町,4876,4306,388,2047,1868,-11.68,-23.31,-15.65,-3.85,16,96,110,122,0.8888888888888888,1.054945054945055,0.8527131782945736,0.61,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
48,北海道,厚沢部町,4049,3592,339,1713,1540,-11.28,-22.94,-16.43,-1.02,16,67,129,172,0.6666666666666666,0.9305555555555556,0.80625,0.882051282051282,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
49,北海道,乙部町,3906,3403,284,1567,1552,-12.87,-26.22,-19.34,-1.64,14,67,79,131,1.0,0.9054054054054054,0.6475409836065574,0.891156462585034,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
50,北海道,奥尻町,2690,2410,163,1250,997,-10.4,-35.56,-13.3,0.2,10,54,179,224,0.47619047619047616,0.9818181818181818,1.1329113924050633,1.103448275862069,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
51,北海道,今金町,5628,5072,468,2515,2089,-9.87,-17.3,-15.17,-0.37,21,84,144,209,0.6363636363636364,0.9882352941176471,0.8044692737430168,0.9008620689655172,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
52,北海道,せたな町,8473,7398,587,3323,3482,-12.68,-21.62,-19.63,-2.97,19,137,241,303,0.5588235294117647,0.845679012345679,1.0,0.9439252336448598,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
53,北海道,島牧村,1499,1356,112,680,564,-9.53,-5.07,-12.02,-7.23,9,23,34,43,1.2857142857142858,0.71875,0.7083333333333334,0.5308641975308642,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
